noise,seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,tau
0.1,16,OnlineFPCA-sgd,0.1,5700,100,face,3,5,0.121081113815308,0.1978891425621139,0.21917891362372846,0.3374389646785738,0.041458479683533465,0.1613356529681989,0.17527285880447382,NA
0.1,16,OnlineFPCA-sgd,0.1,5800,100,face,3,5,0.122050285339355,0.11001763106865421,0.2672294029446171,0.3504856624730759,0.036094590589840575,0.1611181756771409,0.1827563185695464,NA
0.1,16,OnlineFPCA-sgd,0.1,5900,100,face,3,5,0.118103742599487,0.11843271881831562,0.26066351870106563,0.29638290369977244,0.0324703713536178,0.16128942920245984,0.18770659058021022,NA
0.1,16,OnlineFPCA-sgd,0.1,6000,100,face,3,5,0.120721817016602,0.12052505575369513,0.15875730714136155,0.17181140687034668,0.031004534848204018,0.16022482407680705,0.18894296421574452,NA
0.1,16,OnlineFPCA-sgd,0.1,6100,100,face,3,5,0.11832332611084,0.22530460862945315,0.14896942997006246,0.1713303671690593,0.02507132910652513,0.15785311007282118,0.18648386323533014,NA
0.1,16,OnlineFPCA-sgd,0.1,6200,100,face,3,5,0.114009618759155,0.13446809653020586,0.2008507188947095,0.2146454322426347,0.024694165597074286,0.15550870495832636,0.18482598538444397,NA
0.1,16,OnlineFPCA-sgd,0.1,6300,100,face,3,5,0.117899417877197,0.06210508215181298,0.14391043510636403,0.27472519944507606,0.023010618494544492,0.15481514939497157,0.18685552474033398,NA
0.1,16,OnlineFPCA-sgd,0.1,6400,100,face,3,5,0.121139764785767,0.12001555614101768,0.21898338871215406,0.24009907414069506,0.02207478154533654,0.1527005947935459,0.1872238367923714,NA
0.1,16,OnlineFPCA-sgd,0.1,6500,100,face,3,5,0.116888761520386,0.11205824024528983,0.1617751743196892,0.2905596463504135,0.022751334358956786,0.15028599779124155,0.18806793828014964,NA
0.1,16,OnlineFPCA-sgd,0.1,6600,100,face,3,5,0.115548133850098,0.11615931444502094,0.19517689877674627,0.22394245971642984,0.02402550573096973,0.14758426559536844,0.1896449174287361,NA
0.1,16,OnlineFPCA-sgd,0.1,6700,100,face,3,5,0.11691689491272,0.05166954035544916,0.19078359816915347,0.26924970094528244,0.023051709425651764,0.14582701665054137,0.1915420028961648,NA
0.1,16,OnlineFPCA-sgd,0.1,6800,100,face,3,5,0.117889642715454,0.20802187580064402,0.2598801407485082,0.2619113356499195,0.024467316453221557,0.14554578738234436,0.19234938394977807,NA
0.1,16,OnlineFPCA-sgd,0.1,6900,100,face,3,5,0.118919372558594,0.1620622694764716,0.20944476933957848,0.3268321123783215,0.024046893495726723,0.14521631145164943,0.1945904072611446,NA
0.1,16,OnlineFPCA-sgd,0.1,7000,100,face,3,5,0.122999429702759,0.22895201778282698,0.20246134162171125,0.2508061093846014,0.02116605292613647,0.1445386680225899,0.1941333281849781,NA
0.1,16,OnlineFPCA-sgd,0.1,7100,100,face,3,5,0.120242357254028,0.227938366786613,0.21680620487579458,0.12202992374380564,0.021985210880329075,0.14278348505479493,0.19245019187875764,NA
0.1,16,OnlineFPCA-sgd,0.1,7200,100,face,3,5,0.119826555252075,0.06602810137570517,0.060106188949361344,0.08505579439043469,0.022403297178904512,0.13996442587240362,0.1891071445211282,NA
0.1,16,OnlineFPCA-sgd,0.1,7300,100,face,3,5,0.124002695083618,0.18291413504439913,0.14295245832415096,0.09560622049929468,0.021123496884321396,0.13751533866539034,0.1848192866983364,NA
0.1,16,OnlineFPCA-sgd,0.1,7400,100,face,3,5,0.117212772369385,0.16800796046623215,0.19218962501646442,0.14540852480955543,0.019592869378908157,0.13483003146094624,0.18207770610309867,NA
0.1,16,OnlineFPCA-sgd,0.1,7500,100,face,3,5,0.121594190597534,0.15612864102438748,0.15774969839997152,0.2003414883295033,0.017969726025314804,0.13210286282265996,0.1804374747400925,NA
0.1,16,OnlineFPCA-sgd,0.1,7600,100,face,3,5,0.116227388381958,0.11947021920271607,0.162077590292696,0.2975079781409444,0.0170200226615905,0.12916685674413422,0.18118231851790872,NA
0.1,16,OnlineFPCA-sgd,0.1,7700,100,face,3,5,0.119184732437134,0.09834403248544435,0.18157122164052134,0.2528327413720478,0.015735058417470874,0.12645560374578385,0.18256184371974343,NA
0.1,16,OnlineFPCA-sgd,0.1,7800,100,face,3,5,0.118991613388062,0.17047669426844447,0.20155417310650173,0.33597108298001516,0.015882617363922175,0.1247919015708474,0.1844129395924159,NA
0.1,16,OnlineFPCA-sgd,0.1,7900,100,face,3,5,0.11785101890564,0.10334138574992559,0.10966737643304192,0.1995519527333338,0.015036136254364892,0.12364206809826041,0.18545485500380324,NA
0.1,16,OnlineFPCA-sgd,0.1,8000,100,face,3,5,0.117204666137695,0.15413719869640485,0.1741358133715595,0.2243643016693574,0.014465088962331276,0.12152584058853573,0.18495248124913014,NA
0.1,16,OnlineFPCA-sgd,0.1,8100,100,face,3,5,0.114490032196045,0.2948778608120163,0.16177752055696226,0.3046749849990558,0.01363970632350658,0.11951656663454996,0.18592465486493406,NA
0.1,16,OnlineFPCA-sgd,0.1,8200,100,face,3,5,0.118201017379761,0.20788877804161834,0.19124146636967398,0.3279657129079624,0.014390501078293849,0.11843777669018782,0.1872248941646692,NA
0.1,16,OnlineFPCA-sgd,0.1,8300,100,face,3,5,0.122312307357788,0.11767500135496536,0.10477517088234654,0.25108173668362266,0.013737327914089922,0.11583224989909685,0.18764703675810615,NA
