seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi4,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,RMSEphi4.avg
12,Pspline-SGD,0.3,6000,5,0.176051616668701,0.2271299721163729,1.3704789531866444,1.3676825146750586,0.2598501787629839,0.22840820894504044,0.2626453402046838,0.13083146491093348,0.19620364372480198
12,Pspline-SGD,0.3,6100,5,0.17188286781311,0.20013099820772653,1.3492648748891656,1.3560638805928915,0.30458289684541046,0.22589864259250755,0.2602333346959071,0.13134659989826444,0.19692504299844774
12,Pspline-SGD,0.3,6200,5,0.173444032669067,0.23613440107906294,1.3403652490860396,1.339143901672961,0.2385184502570838,0.22346225550465254,0.2583839407755742,0.13295308886944104,0.1978244309697481
12,Pspline-SGD,0.3,6300,5,0.172003746032715,0.16996192721456865,1.344255004649774,1.3500460342747926,0.2780086439713818,0.2208596668915303,0.256620220564495,0.13475135008887618,0.19798513623920763
12,Pspline-SGD,0.3,6400,5,0.173352479934692,0.24074673369797545,1.3340000470419489,1.328539948760292,0.25036402444869205,0.21879443426872677,0.2551247360423443,0.13609126927395732,0.19872675271926166
12,Pspline-SGD,0.3,6500,5,0.176638841629028,0.1808527411900859,1.331152777043771,1.3296601119304308,0.2697236194431729,0.2168885608686414,0.2538097091144872,0.13707221389060745,0.199688067355137
12,Pspline-SGD,0.3,6600,5,0.175845623016357,0.1611788777565058,1.3445696362982613,1.341748604308196,0.2538648780652895,0.21490222591486788,0.25228158575679277,0.13815135533113843,0.20012277412982823
12,Pspline-SGD,0.3,6700,5,0.172482490539551,0.14177440807592617,1.349380736186806,1.346272839572398,0.1813641125188197,0.21227958228189703,0.2497248644340963,0.13747778735507515,0.19918629440400906
12,Pspline-SGD,0.3,6800,5,0.176288366317749,0.15716365287775677,1.357416080561891,1.351367380570716,0.16856621140525888,0.20938114621340423,0.24668868724471768,0.13707051990031516,0.19692419723877833
12,Pspline-SGD,0.3,6900,5,0.287418365478516,0.14224312592532334,1.3423239046480377,1.33869302281768,0.19940235459922304,0.20586602992741135,0.24303628286360868,0.1362987082505314,0.1944391358521688
