noise,seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
0.1,72,OnlineFPCA-sgd,0.2,3800,5,0.656607151031494,0.3667151283553896,0.42927270291703207,0.3296325630230954,0.07554669060743974,0.13838094796137848,0.15670528529036457
0.1,72,OnlineFPCA-sgd,0.2,3900,5,0.642918586730957,0.2585607395643717,0.28440623554422095,0.2435647630440579,0.07320418569767989,0.1325912476771648,0.15378114349892777
0.1,72,OnlineFPCA-sgd,0.2,4000,5,0.678324937820435,0.0724041947355601,0.1274959922200435,0.15047093183471433,0.0724041947355601,0.1274959922200435,0.15047093183471433
0.1,72,OnlineFPCA-sgd,0.2,4100,5,0.650392770767212,0.3804326734747515,0.28341413123670706,0.37792095809368037,0.2295650232322192,0.17715827442868917,0.2517794847604983
0.1,72,OnlineFPCA-sgd,0.2,4200,5,0.642767906188965,0.3235112416137253,0.28931159389043726,0.34842681490626887,0.1530951394195334,0.17143033627268517,0.2663117435796993
0.1,72,OnlineFPCA-sgd,0.2,4300,5,0.651003360748291,0.4263157103598454,0.358882810347574,0.2926593059565689,0.14445195591734478,0.1651443957043267,0.24118339620307253
0.1,72,OnlineFPCA-sgd,0.2,4400,5,0.657841682434082,0.38154913204123847,0.26373279342470685,0.2951114047511041,0.146698893093644,0.1604926015014352,0.20798970331503797
0.1,72,OnlineFPCA-sgd,0.2,4500,5,0.631609201431274,0.25658177830553347,0.2779775247892624,0.31118573831880764,0.1313154697011147,0.1540012857354015,0.19744374574397788
0.1,72,OnlineFPCA-sgd,0.2,4600,5,0.651163578033447,0.24692549283416337,0.33950768498494194,0.27435486732048014,0.1224239341052869,0.13541055514242104,0.17831765685509762
0.1,72,OnlineFPCA-sgd,0.2,4700,5,0.644080638885498,0.24553883424488157,0.2312493242502962,0.30775747148794474,0.1036536929677359,0.11734615216417991,0.16771591350133347
0.1,72,OnlineFPCA-sgd,0.2,4800,5,0.685467004776001,0.4318757978572288,0.4615407400253942,0.28895924576336857,0.087090314453065,0.10762581502277227,0.16118337063588536
0.1,72,OnlineFPCA-sgd,0.2,4900,5,0.647344589233398,0.2845644266671331,0.3943970191133411,0.3691070157887833,0.07046525552735769,0.10195691561001688,0.14895517707514605
0.1,72,OnlineFPCA-sgd,0.2,5000,5,0.651510238647461,0.36070339853466354,0.3896072976426271,0.404457506243381,0.06475714520237094,0.09029611553120141,0.15328804540306387
0.1,72,OnlineFPCA-sgd,0.2,5100,5,0.137816905975342,0.2899845816963046,0.23606911316195806,0.2811044409603408,0.06051389519556419,0.08430617899436607,0.15763234190101086
0.1,72,OnlineFPCA-sgd,0.2,5200,5,0.136515855789185,0.3225604232071537,0.28437349193588274,0.22975500400680487,0.0620048230199117,0.08475348830738948,0.1508421107548359
0.1,72,OnlineFPCA-sgd,0.2,5300,5,0.131607532501221,0.36431924247089914,0.35701270735628066,0.3248852125178582,0.0610796111653347,0.08337943908783763,0.13839501032042653
