seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,C,W,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
31,OnlineFPCA-sgd,0.1,6400,100,face,3,5,0.131206512451172,3,1,0.75069683297964,0.7164731272192845,0.5330053842936004,0.740129678731072,0.7068180139193792,0.537260900704082
31,OnlineFPCA-sgd,0.1,6500,100,face,3,5,0.131803512573242,3,1,0.7512300756650514,0.7168237840540452,0.5331190688052581,0.740555917852506,0.7072048193223047,0.5370922514983024
31,OnlineFPCA-sgd,0.1,6600,100,face,3,5,0.123699188232422,3,1,0.7517540431288132,0.7172467759064415,0.532848666713476,0.7409749762798468,0.7075801548651101,0.5369326835007865
31,OnlineFPCA-sgd,0.1,6700,100,face,3,5,0.143704652786255,3,1,0.7522756825806631,0.71763841886835,0.5325211496725504,0.7413790291961949,0.7079405719867282,0.5367770698216043
31,OnlineFPCA-sgd,0.1,6800,100,face,3,5,0.1293044090271,3,1,0.752939021534522,0.7182301916562214,0.532380264984472,0.7417812116570857,0.708296016303841,0.5366200280674385
31,OnlineFPCA-sgd,0.1,6900,100,face,3,5,0.134026527404785,3,1,0.7536340744978648,0.7189913236152464,0.5319774117215891,0.7421783801840852,0.7086511695055548,0.5364659819631437
31,OnlineFPCA-sgd,0.1,7000,100,face,3,5,0.138237714767456,3,1,0.7541327986365898,0.7193271266413642,0.5317254909490344,0.7425706897748213,0.7090020827650858,0.5363110006119876
31,OnlineFPCA-sgd,0.1,7100,100,face,3,5,0.127848863601685,3,1,0.7543468900157627,0.7195268499114845,0.5315561533010739,0.7429461291176582,0.7093367555112914,0.5361604748644309
31,OnlineFPCA-sgd,0.1,7200,100,face,3,5,0.131427764892578,3,1,0.7549837224113836,0.7199934762877731,0.5312365522554188,0.7433128141035668,0.709662459778827,0.5360126740724231
31,OnlineFPCA-sgd,0.1,7300,100,face,3,5,0.130630016326904,3,1,0.7556551236193297,0.7206584651221609,0.5309752722479638,0.7436775996930948,0.7099873027551871,0.5358629975761913
31,OnlineFPCA-sgd,0.1,7400,100,face,3,5,0.127122402191162,3,1,0.7562319016859701,0.7212291268831302,0.5308002374857332,0.744035702508752,0.7103065799246329,0.5357151894775184
31,OnlineFPCA-sgd,0.1,7500,100,face,3,5,0.125882387161255,3,1,0.7567660866753649,0.7217502845300346,0.5305276125618648,0.7443887841975436,0.7106204891165023,0.5355702634295483
31,OnlineFPCA-sgd,0.1,7600,100,face,3,5,0.134663581848145,3,1,0.7575757057632073,0.7223677212797657,0.5299474603936986,0.7447430105066953,0.7109376672778741,0.5354224934575086
