seed,Method,epoch,nBlock,wBeta,tau,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
38,OnlineFPCA-adagrad,1,50,0.3,3.4030208853258045e-8,0.06165801941736459,0.2872925489875543,0.1597736863288907,0.04705970071143946,0.11245379346244974,0.17202323172745293
38,OnlineFPCA-adagrad,2,50,0.3,3.4030208853258045e-8,0.04120509056049231,0.2646356759518882,0.1607524329668547,0.022469379173965083,0.07808006452766408,0.05803780402298366
38,OnlineFPCA-adagrad,3,50,0.3,3.4030208853258045e-8,0.033558340956490164,0.24574045410958206,0.15388588617800741,0.0231109583646767,0.08293353669977478,0.0680010149112388
38,OnlineFPCA-adagrad,1,50,0.5,3.6602563453942264e-8,0.061814970967323704,0.2870106619370019,0.15886983158680482,0.04749114108367034,0.11207864873503244,0.17237456368808945
38,OnlineFPCA-adagrad,2,50,0.5,3.6602563453942264e-8,0.04121720962484885,0.2645325224112396,0.16024217150802036,0.022456824147429232,0.07800744973531326,0.058351512549817686
38,OnlineFPCA-adagrad,3,50,0.5,3.6602563453942264e-8,0.033573139557900485,0.24565717907621853,0.1534545576144208,0.023098576748127445,0.08288501458162348,0.068151175831522
38,OnlineFPCA-adagrad,1,50,0.7,3.668014148154557e-8,0.061817690240944,0.28699921156117036,0.15882101182207756,0.04748883013504405,0.1120473131990487,0.17226333852843392
38,OnlineFPCA-adagrad,2,50,0.7,3.668014148154557e-8,0.041217573618980013,0.26452943446963173,0.16022688224296686,0.02245718314046835,0.0780072143323803,0.05835203914908057
38,OnlineFPCA-adagrad,3,50,0.7,3.668014148154557e-8,0.033573585999572185,0.24565467025728688,0.15344158485630355,0.023098869133498394,0.08288506443271855,0.06815320561363516
38,OnlineFPCA-adagrad,1,50,0.9,3.668014148154557e-8,0.061817690240944,0.28699921156117036,0.15882101182207756,0.04748883013504405,0.1120473131990487,0.17226333852843392
38,OnlineFPCA-adagrad,2,50,0.9,3.668014148154557e-8,0.041217573618980013,0.26452943446963173,0.16022688224296686,0.02245718314046835,0.0780072143323803,0.05835203914908057
38,OnlineFPCA-adagrad,3,50,0.9,3.668014148154557e-8,0.033573585999572185,0.24565467025728688,0.15344158485630355,0.023098869133498394,0.08288506443271855,0.06815320561363516
38,OnlineFPCA-adagrad,1,100,0.1,7.042021863458e-8,0.07382579373164522,0.29773049534483753,0.1510917395029492,0.047341631802591655,0.10489468004351267,0.1907617817868786
38,OnlineFPCA-adagrad,2,100,0.1,7.042021863458e-8,0.049838749340048,0.276087306526308,0.15581521805917634,0.021331450593271482,0.0781289444837998,0.057846308295512995
38,OnlineFPCA-adagrad,3,100,0.1,7.042021863458e-8,0.0393291907483426,0.2578599714336869,0.14979279525802555,0.02184646543431724,0.08045882134835518,0.06576749729495258
38,OnlineFPCA-adagrad,1,100,0.3,5.4976121470730233e-08,0.07514662809471787,0.3446485270068679,0.22300251727114972,0.04607596647513665,0.3069167757992248,0.33614930476358174
38,OnlineFPCA-adagrad,2,100,0.3,5.4976121470730233e-08,0.049789482714533394,0.27773062471595245,0.1577385238356234,0.021683497078196026,0.08168118573814817,0.0580745569621735
38,OnlineFPCA-adagrad,3,100,0.3,5.4976121470730233e-08,0.03922316422813389,0.25944701785564006,0.15225807848512882,0.021949123232961006,0.07220695855218728,0.05262236039854984
38,OnlineFPCA-adagrad,1,100,0.5,5.3659673480271424e-8,0.0706254229181025,0.4566173915607499,0.40784014942454455,0.0443640778584467,0.45511350582467186,0.5100544683680179
38,OnlineFPCA-adagrad,2,100,0.5,5.3659673480271424e-8,0.04989565516282597,0.27980234145747557,0.1635346864957856,0.019234161559268173,0.21935001057153938,0.21169541349283977
38,OnlineFPCA-adagrad,3,100,0.5,5.3659673480271424e-8,0.03936389951539916,0.25952514319436676,0.15341054253208106,0.020745154771207332,0.1559457304506216,0.14599717442194116
38,OnlineFPCA-adagrad,1,100,0.7,7.282511848042062e-8,0.0732776766502679,0.29765352474316414,0.15360381359084685,0.04542040272009501,0.1043232720183357,0.19627126108612908
38,OnlineFPCA-adagrad,2,100,0.7,7.282511848042062e-8,0.04965679337319998,0.2766744797356396,0.15729763996156754,0.02071342293824187,0.09141735936143244,0.07384658612514254
38,OnlineFPCA-adagrad,3,100,0.7,7.282511848042062e-8,0.03921847449354586,0.258647809445602,0.15122952601876785,0.021466369182599834,0.09091365868428254,0.07696832724980675
38,OnlineFPCA-adagrad,1,100,0.9,8.250297730322397e-8,0.07359510959386222,0.2977128475345439,0.15262351172001,0.04520699160948769,0.11442361784200893,0.20016795702145512
38,OnlineFPCA-adagrad,2,100,0.9,8.250297730322397e-8,0.049738397936487176,0.276204295488505,0.1550956496052497,0.020586841571400595,0.09531517668885305,0.07919688500354499
38,OnlineFPCA-adagrad,3,100,0.9,8.250297730322397e-8,0.039288272147208085,0.2582499788247325,0.14930187955717514,0.021406221451475697,0.09302688618859586,0.0798387433966797
