seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
92,OnlineFPCA-sgd,0.1,7500,100,face,3,5,0.109420776367188,0.2604943588810464,0.31148433434956946,0.3056391417957859,0.021061258664205,0.3908743213856877,0.40991126016347257
92,OnlineFPCA-sgd,0.1,7600,100,face,3,5,0.113005399703979,0.05042996436213502,0.302811181163242,0.2994345061153137,0.02069970895188406,0.3879792785347185,0.4065213271208468
92,OnlineFPCA-sgd,0.1,7700,100,face,3,5,0.117239236831665,0.03192600313097046,0.30416941210357934,0.29542931095824004,0.01997782706988268,0.38534589597393576,0.4031584193203073
92,OnlineFPCA-sgd,0.1,7800,100,face,3,5,0.116456508636475,0.04770496719574441,0.29547088861128684,0.29282544927375564,0.01833271914332005,0.382446479791938,0.400172271040033
92,OnlineFPCA-sgd,0.1,7900,100,face,3,5,0.12122368812561,0.04848427729096936,0.2689878782401804,0.2810731392749345,0.01737054315340678,0.3794963534666478,0.39720557292440223
92,OnlineFPCA-sgd,0.1,8000,100,face,3,5,0.115740060806274,0.2029843297154447,0.2782187167430341,0.25865615996278407,0.01659200648771282,0.3766018099019452,0.3939242274730064
92,OnlineFPCA-sgd,0.1,8100,100,face,3,5,0.126297473907471,0.05890339972914307,0.25651002584847826,0.25734673708355255,0.01576151634376754,0.373586438363645,0.3904432418938415
92,OnlineFPCA-sgd,0.1,8200,100,face,3,5,0.121619701385498,0.03882877846662517,0.24075531144102727,0.2461878716501656,0.01543684013208628,0.3703569508514101,0.3869264677708198
92,OnlineFPCA-sgd,0.1,8300,100,face,3,5,0.123017072677612,0.04466161623990614,0.235022753834788,0.2407113631377393,0.01465164559649119,0.3671231375232647,0.3832245357352436
92,OnlineFPCA-sgd,0.1,8400,100,face,3,5,0.121654748916626,0.07570482065215713,0.2315861780545071,0.22910873141442245,0.01467305639132952,0.3639524738678578,0.379588143997832
92,OnlineFPCA-sgd,0.1,8500,100,face,3,5,0.114749431610107,0.05322017451611506,0.22473429616114243,0.22282347902807745,0.01462864738526412,0.36076173594135097,0.37597707158901994
92,OnlineFPCA-sgd,0.1,8600,100,face,3,5,0.116583108901978,0.08228216429568946,0.21735479001899743,0.2174426113653161,0.01453583957945878,0.3576090013553623,0.37249230157973434
92,OnlineFPCA-sgd,0.1,8700,100,face,3,5,0.116214513778687,0.08571817613195457,0.22197691294984975,0.21188175115279936,0.01437823657256412,0.35456113971615305,0.368951629816107
92,OnlineFPCA-sgd,0.1,8800,100,face,3,5,0.116081714630127,0.11130459322968396,0.23607715400886473,0.20883906786284623,0.01528484915023289,0.3515328096784481,0.36547146253083207
92,OnlineFPCA-sgd,0.1,8900,100,face,3,5,0.117511987686157,0.04453107665144579,0.2006487034031398,0.2023456874469809,0.01552036743472396,0.3482415017161052,0.36198403049399286
92,OnlineFPCA-sgd,0.1,9000,100,face,3,5,0.111852645874023,0.04751992855700335,0.1960162143313698,0.19263766392291992,0.01568991089812867,0.34510287931813743,0.358529986039203
92,OnlineFPCA-sgd,0.1,9100,100,face,3,5,0.114460945129395,0.10973300465749078,0.2853404202303194,0.19733911837961512,0.0164582760274654,0.341745177107469,0.3551732326586477
92,OnlineFPCA-sgd,0.1,9200,100,face,3,5,0.110068082809448,0.0589808580276483,0.20782957871523605,0.1905196803701947,0.01673249131169821,0.3383415000873335,0.35187287064871625
92,OnlineFPCA-sgd,0.1,9300,100,face,3,5,0.114717960357666,0.04047204881932692,0.17190256770297527,0.18292633459238097,0.01699279295791747,0.33511029516008634,0.34860995371904696
92,OnlineFPCA-sgd,0.1,9400,100,face,3,5,0.118300199508667,0.02910185144609795,0.1601119632924889,0.17384463344696394,0.01703079254575669,0.33191035131069635,0.34530971031275287
92,OnlineFPCA-sgd,0.1,9500,100,face,3,5,0.112006902694702,0.06044041074873374,0.17282229415978864,0.1830225161493007,0.01723738223279677,0.32853152968808946,0.34213232571349816
92,OnlineFPCA-sgd,0.1,9600,100,face,3,5,0.111791133880615,0.04323586533124466,0.16111312507857986,0.168026217677014,0.01679152996109486,0.32519293463571,0.338995842806139
92,OnlineFPCA-sgd,0.1,9700,100,face,3,5,0.106092214584351,0.06149552891013873,0.14838782450834273,0.15628047876419807,0.01646139442598352,0.32196360000870916,0.33582207720684387
92,OnlineFPCA-sgd,0.1,9800,100,face,3,5,0.110696792602539,0.07029184739751497,0.1535936574343306,0.15279573387449835,0.01638424776855571,0.31885640869410103,0.332677602060155
92,OnlineFPCA-sgd,0.1,9900,100,face,3,5,0.110723257064819,0.08498554093130428,0.24136079375737804,0.2065154411091022,0.01631999327199252,0.3158416661003295,0.32952168830396006
92,OnlineFPCA-sgd,0.1,10000,100,face,3,5,0.108327865600586,0.02155923189935974,0.14120606184432735,0.22181814721633883,0.01637259329717276,0.31279473183032097,0.32681801704040414
